Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
sim_split_no_mig	Round_4_Replicate_17	-3528.32	7064.64	2090.68	958.72	0.1614,0.8905,0.1026,0.01	
sim_split_no_mig	Round_4_Replicate_33	-3531.27	7070.54	2095.35	954.63	0.1801,0.8845,0.1086,0.0102	
sim_split_no_mig	Round_4_Replicate_31	-3532.67	7073.34	2097.58	955.15	0.177,0.9347,0.106,0.0101	
sim_split_no_mig	Round_4_Replicate_4	-3535.34	7078.68	2110.68	956.13	0.1633,0.9896,0.1082,0.0101	
sim_split_no_mig	Round_4_Replicate_8	-3535.83	7079.66	2106.83	957.85	0.1605,1.027,0.102,0.01	
split_nomig	Round_4_Replicate_25	-4780.74	9573.48	13982.09	805.56	3.2976,1.7371,1.7662,1.0341,0.0288,0.011	
split_nomig	Round_4_Replicate_17	-4887.49	9786.98	13320.05	789.46	5.8456,3.0446,3.8306,1.0499,0.021,0.0178	
split_nomig	Round_4_Replicate_34	-4901.51	9815.02	17042.0	788.62	0.9219,3.1543,3.9103,3.479,0.0245,0.0187	
split_nomig	Round_4_Replicate_21	-4904.49	9820.98	10596.47	756.8	7.7931,1.3672,3.322,1.677,0.0219,0.0306	
split_nomig	Round_4_Replicate_9	-4946.03	9904.06	14564.41	770.55	7.0365,1.0438,2.9072,2.5143,0.0324,0.0214	
admix_origin_no_mig	Round_4_Replicate_27	-3654.16	7320.32	2245.22	950.43	0.1702,2.0234,0.6546,0.0112,0.0102,0.989	
admix_origin_no_mig	Round_4_Replicate_3	-3659.09	7330.18	2326.47	943.11	0.2235,1.8141,0.2669,0.0117,0.0102,0.9881	
admix_origin_no_mig	Round_4_Replicate_12	-3671.97	7355.94	2252.48	954.87	0.1523,4.4269,0.3444,0.0102,0.0102,0.9886	
admix_origin_no_mig	Round_4_Replicate_29	-3672.6	7357.2	2323.3	947.07	0.1728,4.5457,0.3578,0.0102,0.01,0.9896	
admix_origin_no_mig	Round_4_Replicate_26	-3673.79	7359.58	2275.51	949.62	0.163,5.0196,0.3944,0.0107,0.0101,0.9891	
split_nomig	Round_4_Replicate_20	-3864.82	7741.64	2873.3	876.41	0.572,1.6464,0.3015,0.4544,0.0205,0.0116	
split_nomig	Round_4_Replicate_31	-3882.94	7777.88	3142.47	888.83	0.3688,1.123,0.4403,1.7526,0.0113,0.0133	
split_nomig	Round_4_Replicate_35	-3932.86	7877.72	3249.44	878.58	0.3343,2.9188,0.4136,2.0117,0.0116,0.0131	
split_nomig	Round_4_Replicate_17	-3995.15	8002.3	3323.57	864.64	0.4415,1.1009,1.1757,1.4321,0.0135,0.0166	
split_nomig	Round_4_Replicate_40	-4002.97	8017.94	3731.83	874.86	0.5008,1.2414,0.3878,4.0235,0.0171,0.0105	
